W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] 
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] *****************************************
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] *****************************************
swanlab: Tracking run with swanlab version 0.7.13
swanlab: Run data will be saved locally in /home/yjp/em_bench/learn/minimind/trainer/swanlog/run-20260329_163448-48vtjgldxt7fiiudntyr6
swanlab: 👋 Hi lanze,welcome to swanlab!
swanlab: Syncing run MiniMind-GRPO-Epoch-1-BS-2-LR-8e-08 to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@lanze/MiniMind-GRPO
swanlab: 🚀 View run at https://swanlab.cn/@lanze/MiniMind-GRPO/runs/48vtjgldxt7fiiudntyr6
`torch_dtype` is deprecated! Use `dtype` instead!
Model Params: 104.03M
Trainable Params: 104.031M
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 67.27it/s]
torch.compile enabled
Model Params: 104.03M
Trainable Params: 104.031M
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 75.59it/s]
past_key_values should not be None in from_legacy_cache()
past_key_values should not be None in from_legacy_cache()
Epoch:[1/1](70/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.6911, Avg Response Len: 260.12, Learning Rate: 0.00000008
Epoch:[1/1](71/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.3115, Avg Response Len: 284.62, Learning Rate: 0.00000008
Epoch:[1/1](72/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.2806, Avg Response Len: 258.38, Learning Rate: 0.00000008
Epoch:[1/1](73/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.5686, Avg Response Len: 180.44, Learning Rate: 0.00000008
Epoch:[1/1](74/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: 0.5597, Avg Response Len: 452.38, Learning Rate: 0.00000008
Epoch:[1/1](75/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: -0.9140, Avg Response Len: 512.56, Learning Rate: 0.00000008
Epoch:[1/1](76/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -1.1250, Avg Response Len: 387.69, Learning Rate: 0.00000008
Epoch:[1/1](77/2500), Actor Loss: 0.0003, Aux Loss: 0.0000, Reward: -1.4714, Avg Response Len: 389.25, Learning Rate: 0.00000008
Epoch:[1/1](78/2500), Actor Loss: 0.0003, Aux Loss: 0.0000, Reward: -0.3078, Avg Response Len: 287.56, Learning Rate: 0.00000008
Epoch:[1/1](79/2500), Actor Loss: 0.0003, Aux Loss: 0.0000, Reward: -0.0029, Avg Response Len: 310.81, Learning Rate: 0.00000008
